名称,类别,客户数量,描述
影像平台系统,技术工具产品,0,影像平台系统以金融影像应用为主要目标，为信贷系统、车贷系统、评级授信系统、会计核算系统、验印系统和档案管理等系统提供集中的、完整的电子影像采集、影像处理、影像传输、影像分类管理和数据生命周期管理功能。影像平台系统采用了数据分层模式设计，优化数据传输和数据存储管理，支持多种类型的存储设备同时在线工作，支持分布式部署，为客户企业应用系统提供高效的性能和良好的扩展能力。
云服务器,计算资源,0,宇信金融云服务器是基于宇信多年积累的虚拟化、分布式集群等技术构建的云端计算服务。云服务器支持弹性伸缩，分钟级丰富灵活的计费模式，搭配镜像、快照、云安全等增值服务，为您提供超高性价比的高性能云服务器。
物理服务器,计算资源,0,物理服务器是宇信金融云环境中独享的高性能物理服务器，用户拥有完全的物理设备管理权限，并可以与云服务器内网互通，轻松构建内网混合云。物理服务器在云环境中提供了高性能的物理裸机，同时提供完全的设备管理权限和全生命周期的运维管理服务。用户可以像申请云资源一样快速灵活的申请并管理这些物理机，也可以基于物理服务器与云服务器BCC构建内网混合云；同时搭载智能网卡的BBC网络卸载与虚机同子网解决网络异构相关隐患，大大提升产品稳定性。
计算资源弹性伸缩,计算资源,0,通过定义伸缩规则实现在计划时间点或者云资源监控指标变化时，自动创建或者释放一定数量的云服务器实例，从而在业务量突然上升时提供充足的计算能力，在业务量降低时及时释放资源以节约成本。弹性伸缩同时还提供了移除异常创建的实例、自动关联负载均衡等能力，有效帮助您更好管理云资源，最大化降低人力运维成本。
安全评估服务,云合规服务,0,通过安全评估服务对企业资产进行全方位盘点，是企业信息安全合规化的基础。安全评估服务同时提供脆弱性评估，可以以资产为核心，对每一项需要保护的资产可能被利用的风险点的严重程度进行评估。从物理、网络、系统及应用层面进行研判。同时，对于企业已经采购的安全产品有效性进行确认，对有效的安全措施予以保持，同时避免安全资源浪费和重复使用，节约企业安全成本，提高企业安全整体素质。
渗透测试服务,云合规服务,0,渗透测试服务依托宇信金融云多年的安全积累，在用户授权下，模拟黑客的入侵思路与技术手段，采用可控、非破坏性质的方法和手段对系统进行深入的安全检测，及时发现系统存在的风险威胁与漏洞，协助管理者第一时间发现和修复系统存在的风险与漏洞。
应急响应服务,云合规服务,0,当客户发生黑客入侵、DDoS、数据窃取、木马病毒等事件时，宇信金融云提供包括抑制止损、事件分析、业务损失评估、系统加固、事件溯源的应急响应服务，降低安全事件对企业自身的影响与损失。
代码审计服务,云合规服务,0,代码审计服务是通过分析当前应用系统的源代码，从安全的角度对代码进行的安全测试评估。在熟悉业务系统的情况下，从应用系统结构方面检查其各模块和功能之间的关联、权限验证等内容；从安全性方面检查其脆弱性和缺陷。结合丰富的安全知识、编程经验、测试技术，利用静态分析和人工审核的方法寻找代码在架构和编码上的安全缺陷，在代码形成软件产品之前将业务软件的安全风险降到最低。
弹性公网IP EIP,网络资源,0,弹性公网IP EIP（Elastic IP）作为一个独立商品为用户提供公网带宽服务，用户可以将EIP实例与云服务器、负载均衡、NAT网关、VPN网关等实例绑定或解绑，为用户访问公网提供IP地址和公网带宽，做到灵活匹配业务变更，增加用户使用弹性。EIP实例提供一个单独公网IP和一份带宽，为用户访问公网提供服务。
负载均衡,网络资源,0,负载均衡服务可以将来自互联网或内网的流量分发至多台后端服务器，实现业务系统的水平扩展，提升服务能力，并通过健康检查剔除不可用的主机，提升业务系统可用性。此外还可以避免单点故障，提高业务可用性。
专线服务,网络资源,0,专线服务为客户提供IDC与宇信金融云快速、可靠的连接方式。宇信金融云专线服务分为物理专线和专线网关两个组成部分。用户可在物理专线上划分多个专线通道作为虚拟链路资源。专线网关由用户在其VPC中创建并维护，用户将专线通道绑定在指定专线网关上，并配置两端路由最终实现流量互通。
云监控服务,云安全服务,0,"云监控是一款依托于宇信金融云的监控产品，包括了云服务监控、事件监控、应用监控、站点监控、自定义监控、报警管理、指标查看、仪表盘等主要功能，为宇信金融云用户提供全面、可靠、及时的监控服务，为您的系统保驾护航。
主要应用场景是：1、搭建监控体系：业务上云，快速构建监控体系。可通过云监控管理控制台查看云产品监控指标的监控数据和配置报警策略。帮助客户快速的构建一个立体化监控平台，无需自建监控体系，节约企业人力和资金成本。2、日常巡检：实时掌握云产品运行状态，减轻日常巡检压力，云监控为客户提供了“指标查看”和“仪表盘”两种监控数据查看的功能，客户可以根据自己业务大小，灵活的选择监控数据查看方式。业务复杂的场景，可以通过仪表盘自行创建运维大盘，满足您实时盯屏可视化的需求。"
DDoS防护,云安全服务,0,DDoS防护服务是保护用户云上或云外的业务资产免受DDoS攻击的困扰。DDoS防护服务为云上客户提供5Gb的免费DDoS防护能力。当业务遭受超过5Gb的DDoS攻击时，可以将攻击流量引向高防中心，进行清洗后再返回源站，确保源站的稳定正常运行。可提供基于多种协议字段的畸形数据包过滤，以及各种协议探测型攻击。可有效抵御SYN flood攻击、ACK flood攻击、FIN/RST flood攻击、UDP flood攻击、 ICMP flood、 TCP连接耗尽攻击、 HTTP  get/post flood攻击、CC 攻击、HTTP slow header/post攻击等。提供多项数据报表，从流量、数据报文等多个维度全面诠释攻击情况。
应用防火墙 WAF,云安全服务,0,Web应用防火墙（Web Application Firewall，简称WAF）服务是宇信金融云面向用户推出的专业应用安全防护系统，有效防御SQL注入、XSS跨站脚本、后门上传、非授权访问等各种常见Web攻击。它能够有效防护各种Web攻击，协助用户定制访问规则，提升网站等业务的安全。独创的全新WAF技术架构体系，能够将WAF实例灵活部署在各个Web业务入口，避免了传统云WAF架构下黑客绕过代理直攻源站的尴尬。云端安全大数据能力的集成也让WAF能更有效更快捷的帮助客户提升网站安全性与可用性。
安全检测服务,云安全服务,0,"安全检测服务（Security Risk Detection，简称SRD）是宇信金融云面向用户提供的安全风险检测服务，能够检测出SQL注入、XSS跨站脚本等多种常见Web漏洞，也能检测出系统软件中存在的安全漏洞。
安全检测服务可以帮助用户快速的发现业务系统中存在的问题，及时修复，提升业务安全性和稳定性。它能够检测常见Web漏洞，快速准确发现Web业务中的SQL注入、XSS跨站、信息泄漏等各种常见Web安全漏洞。对高危Dday漏洞极速更新，宇信金融云安全运营专家会第一时间获取各种Dday漏洞信息，及时更新检测规则策略，极速提醒客户，降低Dday漏洞攻击带来的影响。"
数据库审计,云安全服务,0,为客户提供SSL证书申请和维护服务，提供可信的服务器验证、数据传输加密服务，双重加密算法，更有百度生态服务加持，可一键部署证书到BLB、CDN、BCH等产品，轻松获得可靠、安全的HTTPS服务。
SSL证书服务,云安全服务,0,提供安全、稳定、实时的数据库审计服务，将数据库面临的注入威胁、风险语句多维度的展示给数据库管理员，并生成审计报告，满足合规性审计需求。
